error: Oct-02-2022 22:48:03: 	POST: Login | Error: connect ETIMEDOUT 15.207.229.46:5432
error: Oct-02-2022 22:48:21: 	POST: Login | Error: connect ETIMEDOUT 15.207.229.46:5432
error: Oct-02-2022 22:48:27: 	POST: Login | Error: connect ETIMEDOUT 15.207.229.46:5432
error: Oct-02-2022 22:48:27: 	POST: Login | Error: connect ETIMEDOUT 15.207.229.46:5432
error: Oct-02-2022 22:48:27: 	POST: Login | Error: connect ETIMEDOUT 15.207.229.46:5432
error: Oct-02-2022 22:48:28: 	POST: Login | Error: connect ETIMEDOUT 15.207.229.46:5432
error: Oct-02-2022 22:55:53: 	POST: Login | Error: connect ETIMEDOUT 15.207.229.46:5432
error: Oct-02-2022 23:05:18: 	POST: Login | Error: connect ETIMEDOUT 15.207.229.46:5432
error: Oct-02-2022 23:15:53: 	POST: Login | Error: connect ETIMEDOUT 15.207.229.46:5432
error: Oct-06-2022 20:08:36: 	POST: Login | User tried to login with email - (jai_s@me.iitr.ac.in) which doesn't exist.
error: Oct-06-2022 20:08:54: 	POST: User validation failed. (JWT Token is expired)
error: Oct-06-2022 22:06:52: 	GET: Failed to fetch all users | user_id: 1 | TypeError: logger.success is not a function
error: Oct-06-2022 22:07:14: 	GET: Failed to fetch all users | user_id: 1 | TypeError: logger.success is not a function
error: Oct-06-2022 22:07:26: 	GET: Failed to fetch all users | user_id: 1 | TypeError: logger.success is not a function
error: Oct-06-2022 22:08:01: 	GET: Failed to fetch all users | user_id: 1 | TypeError: logger.success is not a function
info: Oct-07-2022 02:11:32: 	PUT: Edit user details | by user_id: 1
info: Oct-07-2022 02:11:37: 	PUT: Edit user details | by user_id: 1
info: Oct-07-2022 02:11:41: 	PUT: Edit user details | by user_id: 1
info: Oct-07-2022 02:11:44: 	PUT: Edit user details | by user_id: 1
info: Oct-07-2022 02:11:48: 	PUT: Edit user details | by user_id: 1
info: Oct-07-2022 02:11:52: 	PUT: Edit user details | by user_id: 1
info: Oct-07-2022 02:12:04: 	PUT: Edit user details | by user_id: 1
info: Oct-07-2022 02:12:22: 	PUT: Edit user details | by user_id: 1
info: Oct-07-2022 02:12:22: 	PUT: Edit user details | by user_id: 1
info: Oct-07-2022 02:12:23: 	PUT: Edit user details | by user_id: 1
info: Oct-07-2022 02:12:25: 	PUT: Edit user details | by user_id: 1
info: Oct-07-2022 02:13:29: 	PUT: Edit user details | by user_id: 1
info: Oct-07-2022 02:14:28: 	PUT: Edit user details | by user_id: 1
error: Oct-07-2022 02:54:02: 	POST: Failed to add partner | user_id: 1 | TypeError: logger.success is not a function
error: Oct-07-2022 02:54:20: 	POST: Failed to add partner | user_id: 1 | TypeError: logger.success is not a function
info: Oct-07-2022 02:55:00: 	DELETE : Deleted Partner successfully| user_id: 1 | partner_id: 1
info: Oct-07-2022 02:55:09: 	DELETE : Deleted Partner successfully| user_id: 1 | partner_id: 3
error: Oct-07-2022 02:55:33: 	PUT: Failed to edit partner | user_id: 1 | partner_id: 2 | error: null value in column "PA_PAT_ID" of relation "Partner" violates not-null constraint
error: Oct-07-2022 02:55:35: 	PUT: Failed to edit partner | user_id: 1 | partner_id: 2 | error: null value in column "PA_PAT_ID" of relation "Partner" violates not-null constraint
error: Oct-07-2022 02:55:51: 	PUT: Failed to edit partner | user_id: 1 | partner_id: 2 | error: null value in column "PA_PAT_ID" of relation "Partner" violates not-null constraint
error: Oct-07-2022 14:01:37: 	POST: Failed to add project | user_id: 1 | error: column "PR_ConcernPersonName" of relation "Project" does not exist
error: Oct-07-2022 14:01:45: 	POST: Failed to add project | user_id: 1 | error: column "PR_ConcernPersonName" of relation "Project" does not exist
error: Oct-07-2022 14:02:16: 	POST: Failed to add project | user_id: 1 | error: column "PR_ConcernPersonName" of relation "Project" does not exist
error: Oct-07-2022 14:02:34: 	POST: Failed to add project | user_id: 1 | error: column "PR_ConcernPersonName" of relation "Project" does not exist
error: Oct-07-2022 14:02:34: 	POST: Failed to add project | user_id: 1 | error: column "PR_ConcernPersonName" of relation "Project" does not exist
error: Oct-07-2022 14:03:26: 	POST: Failed to add project | user_id: 1 | error: column "PR_ConcernPersonName" of relation "Project" does not exist
error: Oct-07-2022 14:03:43: 	POST: Failed to add project | user_id: 1 | error: column "PR_ConcernPersonName" of relation "Project" does not exist
error: Oct-07-2022 23:31:23: 	POST: Login | User tried to login with email (jai_s@me.iitr.ac.in) with wrong password.
info: Oct-07-2022 23:36:20: 	DELETE : Deleted Project successfully | user_id: 1 | project_id: 2
info: Oct-07-2022 23:48:18: 	PUT: Edit user details | by user_id: 1
info: Oct-07-2022 23:48:23: 	PUT: Edit user details | by user_id: 1
info: Oct-07-2022 23:52:35: 	PUT: Edit user details | by user_id: 1
info: Oct-07-2022 23:52:40: 	PUT: Edit user details | by user_id: 1
info: Oct-07-2022 23:52:51: 	PUT: Edit user details | by user_id: 1
